ticker,date,open,close,high,low,volume
WMT,2020-02-21,117.44,118.58,118.75,117.31,5624575
WMT,2020-02-20,117.21,117.69,118.11,116.86,5023327
WMT,2020-02-19,119.50,117.68,119.94,117.68,7187771
WMT,2020-02-18,118.47,119.63,119.95,117.36,11516121
WMT,2020-02-14,117.67,117.89,118.57,117.16,8130648
WMT,2020-02-13,115.85,117.44,117.54,115.58,5333187
WMT,2020-02-12,115.50,115.85,116.42,115.41,4735551
WMT,2020-02-11,115.43,115.40,115.50,114.44,5797201
WMT,2020-02-10,115.75,115.25,116.98,115.05,5974564
WMT,2020-02-07,116.11,116.45,116.76,115.76,3689972
WMT,2020-02-06,116.83,116.31,117.23,116.06,5352922
WMT,2020-02-05,115.60,116.81,116.95,114.85,5270628
WMT,2020-02-04,115.24,115.27,116.24,114.89,4757070
WMT,2020-02-03,114.90,114.27,115.39,114.10,4018318
WMT,2020-01-31,115.80,114.49,116.26,113.90,7775787
WMT,2020-01-30,115.61,116.58,116.72,115.33,4581592
WMT,2020-01-29,116.56,115.89,117.12,115.89,3777667
WMT,2020-01-28,115.98,116.60,116.90,115.95,5270302
WMT,2020-01-27,113.19,115.86,116.23,112.68,7018406
WMT,2020-01-24,116.00,114.37,116.03,114.15,4383428
WMT,2020-01-23,116.21,115.81,116.31,115.04,4305174
WMT,2020-01-22,115.22,116.10,116.53,115.18,4926385
WMT,2020-01-21,114.59,115.59,115.69,114.52,7353678
WMT,2020-01-17,116.05,114.96,116.30,114.64,10045009
WMT,2020-01-16,115.50,115.90,115.93,115.28,5369430
WMT,2020-01-15,114.63,115.28,115.87,114.52,7454176
WMT,2020-01-14,115.47,116.18,116.21,115.13,6587321
WMT,2020-01-13,116.38,115.88,116.55,115.37,6114098
WMT,2020-01-10,117.24,116.38,117.34,115.98,6055368
WMT,2020-01-09,116.15,117.36,117.37,116.08,5565632
WMT,2020-01-08,116.30,116.16,116.73,115.68,5880483
WMT,2020-01-07,117.26,116.56,117.52,116.20,6870047
WMT,2020-01-06,117.40,117.65,118.09,116.77,6446545
WMT,2020-01-03,118.27,117.89,118.79,117.59,5401166
WMT,2020-01-02,118.86,118.94,119.89,118.70,6659655
WMT,2019-12-31,119.50,118.84,119.80,118.19,4915577
WMT,2019-12-30,119.80,119.40,119.81,119.13,2945913
WMT,2019-12-27,119.94,119.59,119.94,119.25,3545808
WMT,2019-12-26,119.61,119.52,119.85,118.95,4228073
WMT,2019-12-24,119.13,119.51,119.60,119.01,2227423
WMT,2019-12-23,120.20,119.03,120.69,119.01,4486275
WMT,2019-12-20,121.48,120.29,122.12,120.02,7954551
WMT,2019-12-19,119.94,120.08,120.51,119.78,4464307
WMT,2019-12-18,121.51,119.86,121.68,119.84,5104984
WMT,2019-12-17,120.95,121.28,121.70,120.70,4575934
WMT,2019-12-16,120.42,120.54,121.35,120.42,5352078
WMT,2019-12-13,119.16,120.29,120.65,119.02,5366541
WMT,2019-12-12,119.00,119.76,120.11,118.68,4152110
WMT,2019-12-11,119.40,119.00,119.65,118.53,3506618
WMT,2019-12-10,119.35,119.14,119.56,119.02,4282658
WMT,2019-12-09,119.57,119.36,119.86,119.18,4835474
WMT,2019-12-06,119.08,119.78,119.80,118.92,4342496
WMT,2019-12-05,118.36,118.66,118.78,117.42,4353107
WMT,2019-12-04,119.12,118.69,119.20,118.30,5557516
WMT,2019-12-03,118.40,118.67,118.96,117.77,6760709
WMT,2019-12-02,119.15,119.28,119.38,117.84,5679011
WMT,2019-11-29,119.14,119.09,119.97,119.00,3157316
WMT,2019-11-27,119.39,118.76,119.80,118.73,3440239
WMT,2019-11-26,118.96,119.19,119.30,118.45,6293379
WMT,2019-11-25,120.00,118.92,120.02,117.90,5884479
WMT,2019-11-22,120.15,119.36,120.30,119.27,3843518
WMT,2019-11-21,118.83,119.86,120.00,118.67,4302845
WMT,2019-11-20,120.21,119.13,120.48,118.40,5077756
WMT,2019-11-19,120.11,119.89,120.36,119.71,3716226
WMT,2019-11-18,118.45,120.25,120.87,118.24,6549633
WMT,2019-11-15,120.68,118.87,121.00,118.38,10146507
WMT,2019-11-14,124.60,120.65,125.38,119.51,22511346
WMT,2019-11-13,119.16,120.98,121.36,118.66,8046815
WMT,2019-11-12,119.60,119.12,120.00,118.81,5068798
WMT,2019-11-11,118.70,119.04,119.63,118.28,4441143
WMT,2019-11-08,120.31,119.44,120.88,118.94,3833729
WMT,2019-11-07,120.00,120.23,120.92,119.54,4441357
WMT,2019-11-06,118.83,119.50,119.62,118.71,3614424
WMT,2019-11-05,117.68,118.86,119.14,117.08,4217099
WMT,2019-11-04,118.40,117.57,119.11,117.17,4646041
WMT,2019-11-01,117.92,117.62,117.97,117.23,3762604
WMT,2019-10-31,117.93,117.26,118.28,116.83,4881269
WMT,2019-10-30,117.18,118.10,118.37,117.05,2996204
WMT,2019-10-29,118.50,117.15,118.73,117.08,4791099
WMT,2019-10-28,119.25,119.22,119.70,118.53,3404563
WMT,2019-10-25,119.00,119.04,119.33,118.20,2564324
WMT,2019-10-24,119.15,119.10,119.57,118.51,2922607
WMT,2019-10-23,119.17,119.35,119.85,118.69,2868883
WMT,2019-10-22,119.75,119.58,120.17,119.39,2596516
WMT,2019-10-21,119.30,119.74,119.83,118.82,3472513
WMT,2019-10-18,120.45,119.14,120.60,119.13,5592889
WMT,2019-10-17,119.67,119.84,120.25,119.36,3960770
WMT,2019-10-16,119.31,119.42,120.11,119.10,4144275
WMT,2019-10-15,119.33,119.53,119.99,118.87,5385172
WMT,2019-10-14,119.85,119.17,120.46,119.10,4601527
WMT,2019-10-11,119.92,120.24,120.71,118.72,6149845
WMT,2019-10-10,118.90,119.61,119.88,118.60,4437797
WMT,2019-10-09,118.18,118.93,119.30,118.02,3934091
WMT,2019-10-08,116.81,117.58,118.67,116.66,5546435
WMT,2019-10-07,118.10,117.23,118.30,116.88,4753127
WMT,2019-10-04,116.40,118.16,118.30,116.19,4869301
WMT,2019-10-03,115.88,116.31,116.80,114.58,5369464
WMT,2019-10-02,117.40,116.12,117.55,115.61,6008524
WMT,2019-10-01,118.85,117.85,119.11,117.72,3741361
WMT,2019-09-30,118.67,118.68,119.44,118.56,3603913
WMT,2019-09-27,119.21,118.45,119.23,117.75,3435556
WMT,2019-09-26,118.80,118.30,119.55,118.19,3991411
WMT,2019-09-25,118.47,118.47,118.72,117.81,5339787
WMT,2019-09-24,118.25,118.40,119.86,118.01,7708211
WMT,2019-09-23,116.61,117.62,118.41,116.56,5906283
WMT,2019-09-20,117.35,116.98,117.64,116.80,11587657
WMT,2019-09-19,117.40,117.11,117.81,116.77,3395818
WMT,2019-09-18,116.91,117.16,117.23,116.18,4115747
WMT,2019-09-17,115.32,116.51,116.69,115.25,4776947
WMT,2019-09-16,116.54,115.57,117.17,115.38,6090303
WMT,2019-09-13,117.16,117.43,118.19,116.95,5638635
WMT,2019-09-12,116.65,116.92,117.07,115.90,4474310
